time_type,date,indicator,indicator_category,geography,group_name,group_category,estimate,sd,season
Weekly,9/30/2023,booster,boosted,Texas-Rest of State,Overall,Overall,3.5967,0.546530612,2023/2024
Weekly,9/30/2023,booster,boosted,National,Health Insurance Among 18-64 Years,Insured,2.1131,0.23877551020408166,2023/2024
Weekly,9/30/2023,booster,boosted,National,Health Insurance Among 18-64 Years,Uninsured,0.9588,0.13137755102040816,2023/2024
Weekly,9/30/2023,booster,boosted,National,Race/Ethnicity,"Asian, Non-Hispanic",2.5599,0.9232653061224491,2023/2024
Weekly,9/30/2023,booster,boosted,National,Race/Ethnicity,"Black, Non-Hispanic",1.6632,0.36188775510204085,2023/2024
Weekly,9/30/2023,booster,boosted,National,Race/Ethnicity,Hispanic,1.8723,0.14704081632653063,2023/2024
Weekly,9/30/2023,booster,boosted,National,Race/Ethnicity,"Other, Non-Hispanic",1.7624,0.5382142857142856,2023/2024
Weekly,9/30/2023,booster,boosted,National,Race/Ethnicity,"Pacific Islander/Native Hawaiian, Non-Hispanic",0.5169,0.5325510204081633,2023/2024
Weekly,9/30/2023,booster,boosted,National,Race/Ethnicity,"White, Non-Hispanic",3.5226,0.3373979591836735,2023/2024
Weekly,9/30/2023,booster,boosted,Colorado,Overall,Overall,3.6876,0.4220918367346939,2023/2024
Weekly,9/30/2023,booster,boosted,Connecticut,Overall,Overall,3.4785,0.6821938775510203,2023/2024
Weekly,9/30/2023,booster,boosted,Delaware,Overall,Overall,2.9858,1.2411734693877552,2023/2024
Weekly,9/30/2023,booster,boosted,District of Columbia,Overall,Overall,5.3768,1.121530612244898,2023/2024
Weekly,9/30/2023,booster,boosted,Florida,Overall,Overall,0.5361,0.21892857142857142,2023/2024
Weekly,9/30/2023,booster,boosted,Georgia,Overall,Overall,1.2722,0.8754081632653061,2023/2024
Weekly,9/30/2023,booster,boosted,Hawaii,Overall,Overall,5.8981,2.513673469387755,2023/2024
Weekly,9/30/2023,booster,boosted,Idaho,Overall,Overall,0.8426,0.5701020408163265,2023/2024
Weekly,9/30/2023,booster,boosted,Illinois,Overall,Overall,3.6132,0.807091837,2023/2024
Weekly,9/30/2023,booster,boosted,Minnesota,Overall,Overall,3.8193,1.3480102040816326,2023/2024
Weekly,9/30/2023,booster,boosted,Mississippi,Overall,Overall,2.1862,0.5783163265306123,2023/2024
Weekly,9/30/2023,booster,boosted,Missouri,Overall,Overall,2.7635,0.3691326530612245,2023/2024
Weekly,9/30/2023,booster,boosted,Montana,Overall,Overall,4.252,0.8288775510204082,2023/2024
Weekly,9/30/2023,booster,boosted,Nebraska,Overall,Overall,1.9626,0.623265306,2023/2024
Weekly,9/30/2023,booster,boosted,Nevada,Overall,Overall,2.9193,0.32857142857142857,2023/2024
Weekly,9/30/2023,booster,boosted,New Hampshire,Overall,Overall,4.8774,0.46622448979591835,2023/2024
Weekly,9/30/2023,booster,boosted,New Jersey,Overall,Overall,3.5862,1.0530102040816325,2023/2024
Weekly,9/30/2023,booster,boosted,New Mexico,Overall,Overall,2.4438,0.5710204081632653,2023/2024
Weekly,9/30/2023,booster,boosted,South Carolina,Overall,Overall,2.7101,0.28127551020408165,2023/2024
Weekly,9/30/2023,booster,boosted,South Dakota,Overall,Overall,1.4249,0.5947448979591836,2023/2024
Weekly,9/30/2023,booster,boosted,Tennessee,Overall,Overall,0,0,2023/2024
Weekly,9/30/2023,booster,boosted,Texas,Overall,Overall,2.3224,0.20489795918367348,2023/2024
Weekly,9/30/2023,booster,boosted,Utah,Overall,Overall,2.1829,0.4645408163265306,2023/2024
Weekly,9/30/2023,booster,boosted,Vermont,Overall,Overall,NA,NA,2023/2024
Weekly,9/30/2023,booster,boosted,Virgin Islands,Overall,Overall,0,0,2023/2024
Weekly,9/30/2023,booster,boosted,Virginia,Overall,Overall,1.9559,0.7216326530612246,2023/2024
Weekly,9/30/2023,booster,boosted,Washington,Overall,Overall,5.0796,0.8958163265306123,2023/2024
Weekly,9/30/2023,booster,boosted,Region 6,Overall,Overall,2.6565,0.18918367346938778,2023/2024
Weekly,9/30/2023,booster,boosted,Region 7,Overall,Overall,3.3621,0.2945918367346939,2023/2024
Weekly,9/30/2023,booster,boosted,Region 8,Overall,Overall,3.1242,0.2471938775510204,2023/2024
Weekly,9/30/2023,booster,boosted,Region 9,Overall,Overall,4.3214,0.7756122448979592,2023/2024
Weekly,9/30/2023,booster,boosted,National,Overall,Overall,2.9889,0.24964285714285717,2023/2024
Weekly,9/30/2023,booster,boosted,National,Health Insurance,Insured,3.0061,0.24658163265306124,2023/2024
Weekly,9/30/2023,booster,boosted,National,Health Insurance,Uninsured,1.0142,0.1306122448979592,2023/2024
Weekly,9/30/2023,booster,boosted,National,Gender Identity,Cisgender,2.9431,0.25204081632653064,2023/2024
Weekly,9/30/2023,booster,boosted,National,Gender Identity,Don't Know/Refused,2.6845,0.6931122448979592,2023/2024
Weekly,9/30/2023,booster,boosted,National,Age,65-74 years,5.6527,0.8392857142857143,2023/2024
Weekly,9/30/2023,booster,boosted,National,Age,75+ years,6.7787,1.2836734693877552,2023/2024
Weekly,9/30/2023,booster,boosted,New York,Overall,Overall,2.6364,0.7600510204081633,2023/2024
Weekly,9/30/2023,booster,boosted,North Carolina,Overall,Overall,0,0,2023/2024
Weekly,9/30/2023,booster,boosted,North Dakota,Overall,Overall,3.4499,0.997295918,2023/2024
Weekly,9/30/2023,booster,boosted,Ohio,Overall,Overall,0.1127,0.11316326530612245,2023/2024
Weekly,9/30/2023,booster,boosted,Oklahoma,Overall,Overall,2.3818,0.5222448979591837,2023/2024
Weekly,9/30/2023,booster,boosted,Oregon,Overall,Overall,0.5756,0.23571428571428574,2023/2024
Weekly,9/30/2023,booster,boosted,Pennsylvania,Overall,Overall,4.5059,0.8041836734693878,2023/2024
Weekly,9/30/2023,booster,boosted,Puerto Rico,Overall,Overall,1.6911,0.21239795918367346,2023/2024
Weekly,9/30/2023,booster,boosted,Rhode Island,Overall,Overall,4.7678,3.8158673469387754,2023/2024
Weekly,9/30/2023,booster,boosted,West Virginia,Overall,Overall,2.9365,0.6304081632653061,2023/2024
Weekly,9/30/2023,booster,boosted,Wisconsin,Overall,Overall,2.2884,0.5456632653061224,2023/2024
Weekly,9/30/2023,booster,boosted,Wyoming,Overall,Overall,1.1023,0.5038775510204082,2023/2024
Weekly,9/30/2023,booster,boosted,Region 1,Overall,Overall,4.0848,0.825765306,2023/2024
Weekly,9/30/2023,booster,boosted,Region 10,Overall,Overall,3.1579,1.2654591836734694,2023/2024
Weekly,9/30/2023,booster,boosted,Region 2,Overall,Overall,2.8127,0.5765306122448979,2023/2024
Weekly,9/30/2023,booster,boosted,Region 3,Overall,Overall,3.6395,0.6796428571428572,2023/2024
Weekly,9/30/2023,booster,boosted,Region 4,Overall,Overall,1.1051,0.19683673469387755,2023/2024
Weekly,9/30/2023,booster,boosted,Region 5,Overall,Overall,2.647,0.6885714285714285,2023/2024
Weekly,9/30/2023,booster,boosted,National,Gender Identity,Transgender/Nonbinary,2.7087,1.6058163265306125,2023/2024
Weekly,9/30/2023,booster,boosted,National,Disability Status,No,2.992,0.26913265306122447,2023/2024
Weekly,9/30/2023,booster,boosted,National,Disability Status,Yes,3.017,0.648061224,2023/2024
Weekly,9/30/2023,booster,boosted,National,Age,18-29 years,0.8261,0.17928571428571427,2023/2024
Weekly,9/30/2023,booster,boosted,National,Age,30-39 years,0.938,0.238265306,2023/2024
Weekly,9/30/2023,booster,boosted,National,Age,40-49 years,2.2817,0.15704081632653064,2023/2024
Weekly,9/30/2023,booster,boosted,National,Age,50-64 years,3.8979,0.5885714285714285,2023/2024
Weekly,9/30/2023,booster,boosted,National,Urbanicity,Rural (Non-MSA),1.9018,0.3317857142857143,2023/2024
Weekly,9/30/2023,booster,boosted,National,Urbanicity,Suburban (MSA Non-Principal City),3.0339,0.31770408163265307,2023/2024
Weekly,9/30/2023,booster,boosted,National,Urbanicity,Urban MSA Principal City,3.3888,0.5508163265306122,2023/2024
Weekly,9/30/2023,booster,boosted,National,Sexual Orientation,Don't Know/Refused,2.3971,0.6525510204081633,2023/2024
